L,Full mission,A x A,B x B,A x B
0.000000000000000000e+00,1.357779989241916230e+00,1.251641458490987402e+00,1.233711878272202078e+00,1.271404695016589148e+00
1.000000000000000000e+00,2.095255355890590990e-02,7.698757573987749514e-02,-1.454000361444128010e-02,-1.466151872927754819e-02
2.000000000000000000e+00,2.367013719227595639e-02,-1.069489276319300630e-02,4.147951624936839499e-02,1.635108686272029183e-02
3.000000000000000000e+00,8.759126165458744687e-03,3.242161105236694273e-04,-1.019389128567374167e-02,1.839574801481155472e-02
4.000000000000000000e+00,-6.507118029742766947e-04,-2.452467435586590944e-02,1.935264653862659931e-02,1.472282951581354096e-02
5.000000000000000000e+00,7.440156837909557563e-03,2.084218790739541735e-02,6.767940531984035883e-03,-2.305281324791693537e-02
6.000000000000000000e+00,1.814585890367018811e-02,1.243011993480962543e-02,2.052852237987948941e-02,1.769426033535219378e-02
7.000000000000000000e+00,2.953473651606603606e-03,-8.892722163856840029e-03,2.829769968981293848e-02,-2.925244374010745572e-03
8.000000000000000000e+00,6.503495679698696394e-03,-8.721800357783929258e-03,-5.370148898550248899e-03,2.334131721074691416e-03
9.000000000000000000e+00,3.383718867521984339e-03,5.133130492000034101e-03,-1.502192378446898756e-02,4.356077556762950713e-03
1.000000000000000000e+01,-8.976261390117797360e-04,-2.014812824439890862e-03,2.162152489670614904e-03,1.386301175563337852e-02
1.100000000000000000e+01,-4.695779782083941631e-03,8.999582067690324594e-03,-5.314317731462924778e-03,-1.743154183672875057e-02
1.200000000000000000e+01,4.260211048926876298e-03,1.729667808483738300e-02,-6.998269042347443798e-03,1.028134445739919446e-02
1.300000000000000000e+01,3.070763903384063527e-03,1.980507916439409009e-03,-2.499215913836562789e-03,-1.224418091721084841e-03
1.400000000000000000e+01,2.702405940247985978e-03,1.302854939867125611e-02,-6.661242670026143453e-03,9.365797955998298244e-03
1.500000000000000000e+01,4.057012277931263322e-04,-6.170425024101631496e-03,6.740035325728428728e-04,-1.472767525718167393e-03
1.600000000000000000e+01,7.580291050226312978e-03,1.523857506394376074e-02,-4.090223049113399581e-03,1.523547023686244554e-02
