L,Full mission,HM1 x HM1,HM2 x HM2,HM1 x HM2
0.000000000000000000e+00,9.089722685082909370e-01,6.036313598929722302e-01,1.771847121585942153e+00,1.093530726589148294e+00
1.000000000000000000e+00,-2.316443238391908271e-03,-2.643720398880724382e-02,4.706697045225977094e-02,6.718860703493194364e-03
2.000000000000000000e+00,1.725351137196892270e-03,3.131726335375264320e-02,3.651569069810732190e-03,-2.716356751073488625e-03
3.000000000000000000e+00,-9.505571328362424259e-04,-2.750659962494198408e-03,-2.605154904679457539e-02,1.594840101681334332e-02
4.000000000000000000e+00,1.306925966892725013e-02,-2.576913140254706233e-02,5.204557762758945522e-02,1.963901449052339945e-02
5.000000000000000000e+00,3.971902743645586327e-03,-1.025427365574369323e-02,-5.890883684764618676e-03,-1.176375932179964849e-03
6.000000000000000000e+00,1.412332185350293097e-02,2.374156542123884162e-02,1.246711360518651390e-02,-1.719738456403980403e-02
7.000000000000000000e+00,4.697762959378422483e-03,-7.995129247511369164e-03,-2.745785731488454076e-02,-5.282276387512840204e-03
8.000000000000000000e+00,1.003247100717136360e-02,6.281030077325859551e-02,7.606558543668802061e-03,-1.082836704741410409e-03
9.000000000000000000e+00,1.613671091105666529e-03,-5.144741493069236032e-03,-1.270675670840102495e-02,-5.388056032029233874e-03
1.000000000000000000e+01,3.071722476435605198e-03,2.029566341619285300e-02,-4.947949553632289416e-03,-8.724427044970544526e-03
1.100000000000000000e+01,-4.720740826379752134e-03,-4.901640657186797680e-03,-1.573103128423596064e-02,-6.928513737633736937e-03
1.200000000000000000e+01,6.105854056335084136e-03,-5.499718834208258689e-08,-3.421954014128127108e-03,6.796748100363587258e-03
1.300000000000000000e+01,1.781266762509678327e-03,-1.905112861695200041e-03,-7.986586558195363575e-03,1.121967806049358786e-02
1.400000000000000000e+01,-1.526894534884408678e-03,-1.774253498587893829e-02,-1.120067057707640167e-02,1.175431522977785602e-02
1.500000000000000000e+01,2.522409291309837126e-03,2.227793624944354126e-03,-2.136425097302032707e-03,9.820857623404717282e-03
1.600000000000000000e+01,4.753924109947635715e-03,-2.886346524560677584e-04,6.727685258108457092e-03,2.553254617202885615e-03
1.700000000000000000e+01,-5.964896601501064148e-03,-9.720477842279784050e-03,-2.222395202753392474e-03,-1.068871219859345544e-02
1.800000000000000000e+01,3.655164748472442904e-04,-1.442422422804175847e-02,1.173610219637945479e-03,4.238412130138880136e-03
1.900000000000000000e+01,-2.275969758371780387e-04,-1.299662164536626117e-03,7.294931932441110593e-03,6.510330108648510264e-03
2.000000000000000000e+01,1.386014072852376211e-02,1.140829594111225816e-02,2.904036573367843946e-02,2.547095311537384346e-02
2.100000000000000000e+01,-5.124626182536606020e-04,4.434394484805532013e-03,2.715536839362436491e-03,-4.231569315243649022e-03
2.200000000000000000e+01,-2.686127729237061321e-03,-1.408675121133904848e-02,-3.968636904016326419e-03,-7.808821604045503148e-04
2.300000000000000000e+01,-2.092409453922953848e-03,-7.978494851750188646e-04,1.774195446564345857e-02,-4.501015734788701809e-03
2.400000000000000000e+01,-3.532742433335658546e-04,-3.886396147006568672e-03,1.934210821370342670e-02,-9.529498223282979741e-03
2.500000000000000000e+01,-1.539400790359745546e-03,5.511382684724294191e-03,-3.389113850174034492e-03,7.387862990428576207e-03
2.600000000000000000e+01,2.252358728172898159e-03,5.905280421113649758e-03,-2.567121410218419462e-03,1.765066298492272380e-03
2.700000000000000000e+01,5.593951808785498428e-04,-3.919164504569460153e-03,-7.988110887094891990e-03,7.176477179254737038e-04
2.800000000000000000e+01,-4.176446478824482993e-03,1.577168293546656920e-03,1.026725000992865892e-02,-4.724271182444242378e-03
2.900000000000000000e+01,4.276985473485154371e-03,-2.214849211786609588e-03,1.769725614527621615e-02,1.254758414846956875e-02
3.000000000000000000e+01,-4.442678977543402380e-03,2.305798093385400069e-03,-6.891758347753677849e-03,5.714876591388973193e-03
3.100000000000000000e+01,2.333118448635003624e-03,-2.054621410480774119e-04,2.932158363348071495e-03,2.195908186133016440e-03
3.200000000000000000e+01,7.462754496756012455e-03,5.076889523684587242e-03,1.310366874897090847e-03,1.186403707581261055e-02
3.300000000000000000e+01,-7.807633851684859377e-04,2.340744019200003204e-03,-4.817356317434061744e-03,-6.361419652723170753e-03
3.400000000000000000e+01,-3.305265026829013342e-03,1.180793850242084931e-03,1.501515613403772795e-03,-1.661274338720625243e-03
3.500000000000000000e+01,1.184289003373310790e-03,-3.013602696247030290e-03,-4.379147097521303433e-03,5.565544287746326292e-03
3.600000000000000000e+01,-1.113968364959437140e-03,1.977956107096967911e-03,5.394128046107709434e-03,4.604409696188366133e-04
3.700000000000000000e+01,1.160717209730090628e-03,5.858110715584196639e-05,3.624387685103511430e-03,-1.508533686829361667e-03
3.800000000000000000e+01,1.595967251983523892e-03,-5.506210876043178201e-03,-3.890431174275746796e-03,4.915907416553602118e-03
3.900000000000000000e+01,-2.246705192274978807e-03,-1.774290735593226503e-02,1.117844808214128738e-02,5.455825557316708275e-04
4.000000000000000000e+01,2.733343118128718778e-04,-1.096834901039532052e-02,7.299857479053834669e-03,6.529066737297016879e-03
4.100000000000000000e+01,1.544905641251819936e-03,7.620880588481776996e-04,5.539854140274320243e-03,3.535332963572313057e-03
4.200000000000000000e+01,-1.469290150723601184e-03,-5.844959771178668065e-03,-9.764851421101927373e-03,-3.459152055488097142e-04
4.300000000000000000e+01,1.165333854740885876e-03,1.416774908196523353e-02,1.232933954435485972e-02,1.488938867126256629e-03
4.400000000000000000e+01,3.574169424649214534e-03,-1.457091902011845193e-03,2.303341583900267095e-03,3.348246774147132284e-03
4.500000000000000000e+01,-3.543331631288230282e-03,-7.019618048732745308e-03,3.816981042003054787e-03,-7.716567004990027186e-03
4.600000000000000000e+01,4.137511211757433603e-03,-1.786530245518428220e-03,-9.189633392654630167e-04,6.000354098236777498e-03
4.700000000000000000e+01,-1.405364786646446425e-03,3.953583472255842168e-03,3.395915288641575269e-03,5.395832472044463993e-03
4.800000000000000000e+01,-2.828640724616002505e-03,-1.595936987066011014e-03,-1.092480066923345698e-02,-5.527285815106462198e-03
4.900000000000000000e+01,-4.416210108267462978e-04,4.522070261185355891e-03,1.022941325619283748e-02,-8.019399353953132401e-03
5.000000000000000000e+01,2.577668920620846457e-03,-2.220910025967713208e-03,-3.026126657000018701e-03,6.360790309361235260e-03
5.100000000000000000e+01,-2.927380044438137457e-03,-9.875056192794341367e-03,1.727593675467281424e-03,-1.922025919050212835e-03
5.200000000000000000e+01,5.037335760626195265e-03,9.896138431753697534e-03,6.956608024354197888e-03,6.971541311719090146e-03
5.300000000000000000e+01,-3.068262357855738517e-04,-6.054207625130295436e-03,1.879501931314131284e-03,1.321081826048813544e-03
5.400000000000000000e+01,1.307011446600063638e-03,1.042177251802541005e-02,-2.245529470176085580e-03,-3.964731043537530336e-03
5.500000000000000000e+01,-1.545280235703881981e-03,-6.471444797246412792e-03,1.933780983522143029e-03,6.546909258925656151e-03
5.600000000000000000e+01,1.090078404313711384e-03,-2.292755234816367792e-03,2.616153776316668036e-03,-1.664039503217627477e-03
5.700000000000000000e+01,-1.564026449807265698e-03,-4.669658380813380971e-03,9.063095137324285802e-03,-2.179095186279695912e-03
5.800000000000000000e+01,-2.372061188603893098e-05,-5.661341055688448934e-03,-5.777663560192637660e-03,2.056647560572463437e-03
5.900000000000000000e+01,-2.797039283149020585e-03,-4.249661060185513754e-03,-3.782658182348272273e-03,9.044144996307501615e-04
6.000000000000000000e+01,4.388795466803499523e-03,1.307483242331087397e-03,1.010667486443147297e-03,2.032334893279705637e-03
6.100000000000000000e+01,-1.180319162488022589e-03,-2.633337785794180944e-03,-5.551759740215893649e-03,-2.611858831748882330e-03
6.200000000000000000e+01,1.655727901459506067e-03,-6.461208047466485247e-05,-1.655710078938020958e-03,1.122836532791769704e-02
6.300000000000000000e+01,-2.909262197882638793e-03,-7.780902170259393520e-03,-2.348375302596936859e-04,-5.929612990133045769e-03
6.400000000000000000e+01,-2.038829887259180438e-03,-7.576058869037114937e-03,-8.424774532251122841e-04,9.896999302895465945e-05
6.500000000000000000e+01,-1.766700951636677184e-03,9.492879112711271813e-03,3.509717530062665073e-03,-9.121377602909787590e-04
6.600000000000000000e+01,-1.093177068905915776e-03,-3.317701708388911055e-03,2.830761636908009186e-03,-4.530767301968535894e-03
6.700000000000000000e+01,-5.044909074708625769e-03,-4.382023925033421904e-03,-1.239976825785198480e-02,-7.443847949439611963e-03
6.800000000000000000e+01,-1.403977745743579565e-03,-4.149708437725147143e-03,-6.064110959826711326e-03,-2.268941010429925600e-03
6.900000000000000000e+01,-7.702072761113292962e-04,-9.992891331214227325e-04,-1.056952121971141412e-03,1.943159545016989514e-03
7.000000000000000000e+01,1.231382371652587010e-03,6.938131118283808255e-03,3.875987152783504173e-03,3.785030110974759755e-03
7.100000000000000000e+01,-4.238572972915702992e-04,1.127305452328482109e-02,7.292493728324159381e-04,-5.621954990944637298e-03
7.200000000000000000e+01,2.344391729150580549e-03,6.592382685754643104e-03,1.222821428435106640e-03,-2.490833711266738672e-03
7.300000000000000000e+01,2.395388672016976819e-03,4.545073298071071466e-03,8.419393117818982711e-03,-2.386315351917980398e-03
7.400000000000000000e+01,-2.723284109369887573e-03,3.333643997383520675e-04,-2.367124244107805982e-03,-2.877565378490653213e-03
7.500000000000000000e+01,-4.910039754608816129e-04,4.335962318883210265e-03,-2.203905956110838865e-03,8.321265370674326084e-04
7.600000000000000000e+01,1.248921629633184625e-03,-5.697449261729062298e-03,3.126564541574098580e-03,3.487477211690849857e-03
7.700000000000000000e+01,1.077248240730212074e-03,-6.310251641260142437e-03,1.441697242184062679e-02,3.592453477175540193e-03
7.800000000000000000e+01,1.579534224192245828e-05,4.590076319458147661e-03,1.989424718421024547e-03,-5.344730363355840869e-03
7.900000000000000000e+01,1.542017224600500218e-03,7.389554989908670227e-03,7.354201633684127187e-03,6.277993588897945107e-03
8.000000000000000000e+01,1.505695355714092713e-04,3.519759886637107392e-03,-4.164918016825208853e-04,-5.744409935737089176e-03
8.100000000000000000e+01,1.983355938156307861e-03,1.872339524853673751e-03,-7.276624390169517120e-03,1.851044988376880380e-03
8.200000000000000000e+01,1.325849543296764603e-03,-3.165639836880352383e-03,-3.916398999229181790e-03,-7.173221518239509056e-03
8.300000000000000000e+01,2.591746192154582851e-03,8.304130307859368051e-03,-1.032807684397787570e-02,3.957550086482848443e-03
8.400000000000000000e+01,2.538662091060144032e-04,7.895804887580385248e-03,6.211217242366676855e-03,-1.124989005272715491e-03
8.500000000000000000e+01,1.091804595915994106e-03,3.474041137941226345e-03,2.405018007190300958e-03,7.891995454046453820e-03
8.600000000000000000e+01,-2.768698831872295758e-04,-5.938972881782487567e-04,3.434171084752947467e-03,-5.550353137933366392e-04
8.700000000000000000e+01,8.664806000003058258e-04,3.472717281416505715e-03,1.350656319326003132e-03,4.789562273026818848e-03
8.800000000000000000e+01,-9.225933976338778451e-04,-5.879708484735374652e-04,2.884628444826027767e-03,2.028414981492487629e-03
8.900000000000000000e+01,-1.150096246834554506e-03,-6.403591701120788307e-03,4.875739686868280597e-04,-1.921681804665890405e-04
9.000000000000000000e+01,-5.793771321818376929e-05,-3.155699695348162821e-04,4.008974937177382791e-03,2.304005590030015651e-04
9.100000000000000000e+01,4.893486637353744060e-04,-6.566112183875286341e-03,5.398166095004319764e-03,-2.291605894166771765e-04
9.200000000000000000e+01,-3.944979113410039106e-05,-4.191743501749838237e-03,1.113350037142633517e-02,-1.374988038699553059e-03
9.300000000000000000e+01,-1.021052728295932400e-03,-1.924010060187873218e-03,-3.656188198881949424e-03,4.184847905086711093e-04
9.400000000000000000e+01,1.758822274108448125e-03,1.454211653335884397e-02,2.496332158654756411e-05,4.812932673056317945e-03
9.500000000000000000e+01,-2.188404345356409833e-03,-8.178516202511544250e-03,1.131147920405826610e-02,-3.652635419608908380e-03
9.600000000000000000e+01,3.084569950835462995e-03,1.067742073730777036e-02,-5.199092652257011199e-03,1.643119360961488524e-03
9.700000000000000000e+01,-7.222273205646362326e-04,-1.546178019509670404e-03,3.398966287797426308e-03,-2.501282026492755977e-03
9.800000000000000000e+01,6.323723289569045452e-04,4.808070731777690753e-03,-3.477109709694579508e-03,-1.663057939861721556e-03
9.900000000000000000e+01,-2.799057592580477070e-03,-4.267097422524930919e-03,-4.666312916536104541e-04,-2.784683022586287478e-03
1.000000000000000000e+02,-1.047608285306568738e-03,2.109601802591761291e-03,-2.577259590882750862e-03,-1.092068281444460043e-03
1.010000000000000000e+02,2.422989411091185791e-03,1.964722153239171695e-04,2.303278376330471309e-03,3.052630080630039724e-03
1.020000000000000000e+02,-9.930816437387123344e-04,-7.261951336872588848e-03,-6.411899438205472326e-05,-5.939648462335768257e-03
1.030000000000000000e+02,1.118643927255404298e-03,2.270796375200243109e-03,3.262478850499100046e-03,1.153485818457534052e-03
1.040000000000000000e+02,1.659903489304032954e-03,-2.893045406823168374e-03,-1.578660931781866034e-03,5.216397508726408443e-03
1.050000000000000000e+02,2.130792043815645832e-03,7.374569399332374549e-03,5.690543637210646391e-03,-1.384170996321175406e-03
1.060000000000000000e+02,-1.272199508805670022e-03,-4.280880658639645356e-03,2.297808624300854211e-04,-1.148126756887847067e-03
1.070000000000000000e+02,1.786775988858765266e-03,5.998693811785050026e-03,-9.003928933163585918e-03,-3.058925940354910358e-03
1.080000000000000000e+02,2.307949801946864929e-03,-5.102690465474334428e-03,-7.957624912304178330e-03,3.471438799536540141e-03
1.090000000000000000e+02,1.470911597773325941e-03,-4.674622030094617575e-03,-1.210257348242499247e-04,2.842236920178978308e-03
1.100000000000000000e+02,3.575498080263989336e-03,6.320634501911879567e-03,3.391652655227005240e-03,-3.245268287020754323e-03
1.110000000000000000e+02,1.092687320044254074e-03,1.962493920152593493e-04,-6.299604247153355388e-04,-8.215980312159242038e-05
1.120000000000000000e+02,-1.185510793164672476e-03,3.347838722422902865e-03,7.747544677682025385e-04,-1.748752808202154192e-03
1.130000000000000000e+02,6.739751180372484298e-04,7.024239507633576714e-04,-4.218426714837301278e-04,3.344884141193175866e-03
1.140000000000000000e+02,-1.023945959580898095e-03,-6.175378363617351971e-03,-3.482901943150228975e-03,1.227023887885881617e-03
1.150000000000000000e+02,1.401117985949762272e-04,1.840218959665124512e-03,2.521561087675117021e-03,-2.892545166238184515e-03
1.160000000000000000e+02,3.283512945214669488e-05,3.078729319536943447e-03,-3.369975753456600810e-03,3.622993139148968523e-05
1.170000000000000000e+02,-1.751696971430611910e-04,-2.397485715389524943e-03,-5.122183297291945173e-04,2.147870380053846107e-03
1.180000000000000000e+02,-9.701763954669741664e-04,-4.699645269288571167e-03,-6.096486011523834757e-04,-3.459002698086935130e-04
1.190000000000000000e+02,-6.283438547663374200e-05,4.058030781869090969e-03,-9.154124719797386220e-03,-1.113391892402149390e-03
1.200000000000000000e+02,-2.136873248698706990e-04,-1.552086956443258624e-03,1.304427127002808807e-04,1.482445730879219329e-03
